"Revised  NEET-UG  Counselling Seats Allotment -2025 Round 3","","","","","","","","","","","","","","","",""
"Round 1","","","","","Round 2","","","","","Round 3","","","","","",""
"Rank","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","","Allotted Institute","Course","Alloted Category","candidate Category","option No.","Remarks"
"1","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"2","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"3","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"4","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"6","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"7","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"8","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"9","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"10","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"11","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"12","Open Seat Quota","AIIMS, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
